Quebra;Quebra2;C�digo;Descri��o;Quantidade;Faturamento;Pre�o m�dio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participa��o;Acumulado;Classifica��o;ICMS ST;Fecop ST
"";;00000000004185;SABAO ROSA MINUANO C/ 5 180G;1,000;10,90;10,90;8,84;0,00;0,00;2,06;18,90;23,30;0,00;0,09;;;
"";;00000000004184;SABAO GLICERINADO NEUTRO MINUANO C/ 5 180G;1,000;11,90;11,90;9,90;0,00;0,00;2,00;16,81;20,20;0,00;0,09;;;
"";;00000000002283;PO PARA DECORACAO AZUL TIFFANY ROYAL FLEX FEST 3G;1,000;8,90;8,90;6,91;0,00;0,00;1,99;22,36;28,80;0,00;0,09;;;
"";;00000000004169;BATERIA ALCALINA PANASONIC 12V;1,000;15,90;15,90;12,01;0,00;0,00;3,89;24,47;32,39;0,00;0,09;;;
"";;00000000004165;RAIO HARRY POTTER FINI 70G;1,000;5,99;5,99;5,27;0,00;0,00;0,72;12,02;13,66;0,00;0,09;;;
"";;00000000004161;CREME DE PENTEAR SEDA PRETO LUMINOSO 300G;1,000;7,99;7,99;6,07;0,00;0,00;1,92;24,03;31,63;0,00;0,10;;;
"";;00000000004985;ABSORVENTE MODESS SUAVE C/ABAS C/16;1,000;4,99;4,99;3,97;0,00;0,00;1,02;20,44;25,69;0,00;0,10;;;
"";;00000000004970;KIT MAXTON VERMELHO CEREJA 6.66 60G;1,000;7,99;7,99;11,47;0,00;0,00;-3,48;-43,55;-30,34;0,00;0,10;;;
"";;00000000006111;CAIXA DE CANETAS CIS NEXT COLORS;1,000;1,49;1,49;0,77;0,00;0,00;0,72;48,32;93,51;0,00;0,10;;;
"";;00000000004145;FORMA DE CUPCAKE AZUL ESCURO PLAC  C/45;1,000;6,99;6,99;5,53;0,00;0,00;1,46;20,89;26,40;0,00;0,10;;;
"";;00000000005573;SACO P/ LIXO FINO 100L DONAPACK C/100;1,000;17,90;17,90;0,00;0,00;0,00;17,90;100,00;0,00;0,00;0,10;;;
"";;00000000006270;VELA  ESPIRAL ROSE SILVER FE4ST C/4 UND;1,000;7,90;7,90;4,60;0,00;0,00;3,30;41,77;71,74;0,00;0,10;;;
"";;00000000006269;VELA  ESTRELA NEON SILVER FEST C/4UND;1,000;8,90;8,90;7,00;0,00;0,00;1,90;21,35;27,14;0,00;0,10;;;
"";;00000000001269;TOMATE SECO 2KG ARCOBELLO;1,000;54,90;54,90;48,10;0,00;0,00;6,80;12,39;14,14;0,00;0,10;;;
"";;00000000005668;SABONETE LIQUIDO INTIMO FEMININO AROEIRA BIOMATIKA 200ML;1,000;8,99;8,99;7,66;0,00;0,00;1,33;14,79;17,36;0,00;0,10;;;
"";;00000000002295;SACO TRANSPARENTE 15X20 CROMUS C/ 100UND;1,000;22,90;22,90;19,99;0,00;0,00;2,91;12,71;14,56;0,00;0,10;;;
"";;00000000002320;ROLINHO CANUTO WAFER STER BOM 1KG;1,000;29,99;29,99;28,00;0,00;0,00;1,99;6,64;7,11;0,00;0,10;;;
"";;00000000000633;FERMENTO QUIMICO EM PO DR.OETKER 100G;1,000;4,59;4,59;3,90;0,00;0,00;0,69;15,03;17,69;0,00;0,10;;;
"";;00000000002331;FITILHO AMARELO 5X50 FIDEPLA;1,000;2,49;2,49;1,86;0,00;0,00;0,63;25,30;33,87;0,00;0,10;;;
"";;00000000002333;FITILHO ROSA CH 5X50 FIDEPLA;1,000;2,49;2,49;1,79;0,00;0,00;0,70;28,11;39,11;0,00;0,10;;;
"";;00000000002412;PO PARA DECORACAO PEROLA FLEX FEST 3G;1,000;8,90;8,90;6,91;0,00;0,00;1,99;22,36;28,80;0,00;0,10;;;
"";;00000000005187;FITA ADESIVA GATTE 45X45 TRANSPARENTE;1,000;4,99;4,99;2,51;0,00;0,00;2,48;49,70;98,80;0,00;0,10;;;
"";;00000000002416;PO PARA DECORACAO VERDE FOLHA FLEX FEST 3G;1,000;8,90;8,90;6,91;0,00;0,00;1,99;22,36;28,80;0,00;0,10;;;
"";;00000000004096;SABONETE LIQUIDO NEUTRO 1L SPECIAL;1,000;10,90;10,90;9,23;0,00;0,00;1,67;15,32;18,09;0,00;0,10;;;
"";;00000000005357;GIN SILVER SEAGERS 750ML;1,000;69,90;69,90;55,00;0,00;0,00;14,90;21,32;27,09;0,00;0,10;;;
"";;00000000002424;CORANTE SOFT GEL FLEX AZUL JEANS 25G FLEX FEST;1,000;4,29;4,29;3,31;0,00;0,00;0,98;22,84;29,61;0,00;0,10;;;
"";;00000000004069;FORMA ACETATO PORTO FORMAS UN;1,000;1,50;1,50;1,02;0,00;0,00;0,48;32,00;47,06;0,00;0,10;;;
"";;00000000006209;G630 FATIA TORTA GALVANOTEK C/10;1,000;11,90;11,90;9,85;0,00;0,00;2,05;17,23;20,81;0,00;0,10;;;
"";;00000000005367;RUM MONTILLA 1L CARTA BRANCA;1,000;29,90;29,90;23,80;0,00;0,00;6,10;20,40;25,63;0,00;0,10;;;
"";;00000000004020;HIDRATANTE SOFT MILK NIVEA 48H 200ML;1,000;16,90;16,90;14,29;0,00;0,00;2,61;15,44;18,26;0,00;0,10;;;
"";;00000000004016;SABONETE LIQUIDO CREAM CARE NIVEA 200ML;1,000;7,99;7,99;6,84;0,00;0,00;1,15;14,39;16,81;0,00;0,10;;;
"";;00000000001213;GUARANA EM PO 100G NATURYS;1,000;6,49;6,49;4,99;0,00;0,00;1,50;23,11;30,06;0,00;0,10;;;
"";;00000000006095;ESTILETE LARGO GATTE 18 MM;1,000;2,99;2,99;1,55;0,00;0,00;1,44;48,16;92,90;0,00;0,10;;;
"";;00000000004011;DESODORANTE NIVEA SPRAY MEN ACTIVER DRY IMPACT 72H 150ML;1,000;11,90;11,90;8,90;0,00;0,00;3,00;25,21;33,71;0,00;0,10;;;
"";;00000000002453;FOLHA LAMINADA AZUL 210X297MM;1,000;2,50;2,50;1,50;0,00;0,00;1,00;40,00;66,67;0,00;0,10;;;
"";;00000000002458;FOLHA LAMINADA VERDE ESCURO 210X297MM;1,000;2,50;2,50;1,50;0,00;0,00;1,00;40,00;66,67;0,00;0,10;;;
"";;00000000005779;BATON GAROTO DUOBRANCO 16G;1,000;1,99;1,99;1,25;0,00;0,00;0,74;37,19;59,20;0,00;0,11;;;
"";;00000000006293;OLEO PAIXAO FRAMBOESA 24H 100ML;1,000;11,99;11,99;9,50;0,00;0,00;2,49;20,77;26,21;0,00;0,11;;;
